Year,Libya,South Sudan,Syria,Yemen,Libyaall,South Sudanall,Syriaall,Yemenall,Libyap,South Sudanp,Syriap,Yemenp
2011,0,1,0,0,1,1,0,4,0,1,0,0
2012,0,1,1,0,0,2,5,0,0,0.5,0.2,0
2013,0,1,3,0,0,1,3,0,0,1,1,0
2014,0,3,8,14,0,10,8,19,0,0.3,1,0.736842105
2015,5,2,10,2,7,6,13,3,0.714285714,0.333333333,0.769230769,0.666666667
2016,6,1,13,5,6,2,17,10,1,0.5,0.764705882,0.5
2017,6,5,23,0,8,9,28,0,0.75,0.555555556,0.821428571,0
2018,14,2,14,2,16,6,16,6,0.875,0.333333333,0.875,0.333333333
2019,1,3,3,2,1,4,3,4,1,0.75,1,0.5
2020,0,1,0,0,0,3,0,0,0,0.333333333,0,0
